OrgID,Charity Name,Address ,City,State,Zip,Website URL,Cause,Total Expenses,Total Net Assets
11884,The Progeria Research Foundation,P.O. Box 3453 ,Peabody,MA,1961,http://progeriaresearch.org,"Diseases, Disorders, and Disciplines","$2,521,519 ","$4,542,139 "
13535,The Public Education Foundation,4350 South Maryland Parkway ,Las Vegas,NV,89119,https://thepef.org/,Scholarship and Financial Support,"$9,050,912 ","$18,473,494 "
4232,The Public Theater/New York Shakespeare Festival,425 Lafayette Street ,New York,NY,10003,https://publictheater.org/,Performing Arts,"$48,782,029 ","$73,642,226 "
15052,The Purple Door,P.O. Box 3368 ,Corpus Christi,TX,78463,http://www.purpledoortx.org/,Social Services,"$2,611,583 ","$2,952,386 "
11597,The Ragdale Foundation,1260 North Green Bay Road ,Lake Forest,IL,60045,http://www.ragdale.org,Performing Arts,"$1,051,086 ","$5,866,228 "
12565,The Rainbow Connection,621 West University ,Rochester,MI,48307,http://www.rainbowconnection.org,Patient and Family Support,"$2,413,443 ","$1,839,373 "
3654,The Rams Club,450 Skipper Bowles Drive ,Chapel Hill,NC,27599,http://www.ramsclub.com/,Scholarship and Financial Support,"$88,404,009 ","$16,318,284 "
8406,The Raymond F. Kravis Center for the Performing Arts,701 Okeechobee Boulevard ,West Palm Beach,FL,33401,http://www.kravis.org,Performing Arts,"$31,126,518 ","$115,271,555 "
7278,The Redwood Empire Food Bank,3990 Brickway Boulevard ,Santa Rosa,CA,95403,http://www.refb.org/,"Food Banks, Food Pantries, and Food Distribution","$34,785,880 ","$26,960,984 "
15261,The Renaissance,138 Park Avenue West ,Mansfield,OH,44902,http://mansfieldtickets.com/,Performing Arts,"$1,924,168 ","$6,116,945 "
11273,The Renaissance Society at the University of Chicago,"5811 South Ellis Avenue Cobb Hall, 4th floor",Chicago,IL,60637,http://renaissancesociety.org,Museums,"$1,554,307 ","$8,509,124 "
10443,The Repertory Theatre of St. Louis,130 Edgar Road ,St. Louis,MO,63119,http://www.repstl.org,Performing Arts,"$7,670,280 ","$7,331,195 "
10715,The Rescue Mission of Salt Lake,463 South 400 West ,Salt Lake City,UT,84101,http://www.rescuesaltlake.org,Rescue Missions,"$2,395,262 ","$5,399,518 "
9831,The Rescue Mission of the Mahoning Valley,962 Martin Luther King Jr. Boulevard ,Youngstown,OH,44510,http://www.rescuemissionmv.org,Rescue Missions,"$2,243,755 ","$4,938,300 "
9474,"The Rescue Mission, Fort Wayne",301 West Superior Street ,Fort Wayne,IN,46855,http://www.therescuemission.net/,Rescue Missions,"$7,311,792 ","$15,634,157 "
8146,"The Rescue Mission, Tacoma",425 South Tacoma Way ,Tacoma,WA,98402,https://trm.org,Rescue Missions,"$6,698,739 ","$7,514,775 "
10817,The Resource Foundation,244 Fifth Avenue Suite 1428,New York,NY,10001,http://www.resourcefnd.org,Development and Relief Services,"$13,188,781 ","$3,497,803 "
6222,The Richard Nixon Foundation,18001 Yorba Linda Boulevard ,Yorba Linda,CA,92886,http://nixonfoundation.org/,"Libraries, Historical Societies and Landmark Preservation","$7,812,086 ","$48,578,031 "
14269,The River Food Pantry,2201 Darwin Road ,Madison,WI,53704,http://www.riverfoodpantry.org/,"Food Banks, Food Pantries, and Food Distribution","$6,385,422 ","$610,867 "
7374,The Road Home,210 South Rio Grande Street ,Salt Lake City,UT,84101,http://www.theroadhome.org,Homeless Services,"$18,299,649 ","$15,485,823 "
7492,The Roar Foundation,6867 Soledad Canyon ,Acton,CA,93510,http://www.shambala.org,Wildlife Conservation,"$1,087,731 ","$1,926,890 "
5133,The Rodale Institute,611 Siegfriedale Road ,Kutztown,PA,19530,http://www.rodaleinstitute.org,Non-Medical Science & Technology Research,"$5,113,890 ","$28,238,641 "
4410,The Ronald Reagan Presidential Foundation and Institute,40 Presidential Drive ,Simi Valley,CA,93065,http://www.reaganfoundation.org,"Libraries, Historical Societies and Landmark Preservation","$24,993,212 ","$352,906,282 "
7331,The Rose,12700 North Featherwood Suite 260,Houston,TX,77034,http://www.therose.org,Treatment and Prevention Services,"$13,350,194 ","$8,991,492 "
4553,The Rotary Foundation of Rotary International,One Rotary Center 1560 Sherman Avenue,Evanston,IL,60201,https://www.rotary.org/myrotary/en/rotary-foundation,"International Peace, Security, and Affairs","$338,243,773 ","$1,127,298,300 "
8212,The Royal Oak Foundation,20 West 44th Street Suite 606 ,New York,NY,10036,http://www.royal-oak.org/,"Libraries, Historical Societies and Landmark Preservation","$3,682,737 ","$7,596,071 "
10940,The Rusty Staub Foundation,1011 First Avenue 11th Floor,New York,NY,10022,http://www.rustystaubfoundation.com/,Scholarship and Financial Support,"$1,546,684 ","$431,835 "
