OrgID,charity_name,cause,category,address,City,state,zip,web_url,total_expenses,total_net_assets,class
6395,Roadrunner Food Bank of New Mexico,"Food Banks, Food Pantries, and Food Distribution",Human Services,5840 Office Blvd. NE ,Albuquerque,NM,87109,http://www.rrfb.org,"$68,733,658","$11,317,425",2
10667,Roanoke Symphony Orchestra,Performing Arts,"Arts, Culture, Humanities",1125 1st Street SW ,Roanoke,VA,24016,http://www.rso.com,"$1,682,031","$473,753",0
8277,Roanoke Valley SPCA,"Animal Rights, Welfare, and Services",Animals,"1340 Baldwin Avenue, NE ",Roanoke,VA,24012,http://www.rvspca.org/,"$1,267,509","$5,252,733",1
6520,Robert E. Lee Memorial Association,"Libraries, Historical Societies and Landmark Preservation","Arts, Culture, Humanities",483 Great House Road ,Stratford,VA,22558,http://www.stratfordhall.org/,"$3,698,002","$31,822,453",0
6000,Robert F. Kennedy Human Rights,Social and Public Policy Research,Research and Public Policy,"1300 19th Street, NW Suite 750",Washington,DC,20036,http://rfkhumanrights.org/,"$10,718,953","$46,562,789",0
8627,Robert Toigo Foundation,Adult Education Programs and Services,Education,180 Grand Avenue Suite 925,Oakland,CA,94612,http://www.toigofoundation.org/,"$3,280,612","$2,431,768",0
4402,Robin Hood Foundation,Housing and Neighborhood Development,Community Development,826 Broadway 9th Floor,New York,NY,10003,http://www.robinhood.org,"$198,766,366","$269,792,353",1
11082,Roca,Children's and Family Services,Human Services,101 Park Street ,Chelsea,MA,2150,http://rocainc.org/,"$14,920,691","$25,898,749",0
16054,Rochester Museum and Science Center,Museums,"Arts, Culture, Humanities",657 East Avenue ,Rochester,NY,14607,http://www.rmsc.org/,"$7,787,241","$24,845,401",0
6043,Rochester Philharmonic Orchestra,Performing Arts,"Arts, Culture, Humanities",108 East Avenue ,Rochester,NY,14604,http://www.rpo.org/,"$11,687,613","$11,195,716",0
15014,Rock in Prevention,Youth Education Programs and Services,Education,7628 Hickman Road ,Des Moines,IA,50324,http://www.rockinprevention.org/,"$687,060","$4,898,229",0
14988,Rock the Vote,Advocacy and Education,Human and Civil Rights,1440 G Street NW ,Washington,DC,20005,https://www.rockthevote.org/,"$1,358,709","$1,676,111",2
14563,Rocketown of Middle Tennessee,Religious Activities,Religion,601 Fourth Avenue South ,Nashville,TN,37210,http://www.rocketown.org,"$1,734,583","$6,093,659",2
10143,Rockford Rescue Mission,Rescue Missions,Human Services,715 West State Street ,Rockford,IL,61102,http://www.rockfordrescuemission.org/index.php,"$6,508,263","$15,768,010",0
11935,Rocking the Boat,Youth Education Programs and Services,Education,812 Edgewater Road ,Bronx,NY,10474,http://www.rockingtheboat.org,"$2,569,763","$3,642,634",0
14325,Rockport Music,Performing Arts,"Arts, Culture, Humanities",37 Main Street ,Rockport,MA,1966,https://rockportmusic.org/,"$4,774,622","$27,793,012",0
10328,Rockwall County Helping Hands,Social Services,Human Services,950 Williams Street ,Rockwall,TX,75087,http://www.rockwallhelpinghands.com,"$2,901,087","$1,820,928",1
13440,Rocky Mountain Conservancy,Environmental Protection and Conservation,Environment,P.O. Box 3100 ,Estes Park,CO,80517,http://rmconservancy.org/,"$2,942,113","$15,670,372",1
4406,Rocky Mountain Elk Foundation,Wildlife Conservation,Animals,5705 Grant Creek ,Missoula,MT,59808,http://www.rmef.org,"$59,791,123","$84,644,739",0
8799,Rocky Mountain Institute,Environmental Protection and Conservation,Environment,22830 Two Rivers Road ,Basalt,CO,81621,http://www.rmi.org,"$39,847,054","$26,773,079",1
11525,Rocky Mountain MS Center,"Diseases, Disorders, and Disciplines",Health,8845 Wagner Street ,Westminster,CO,80031,http://mscenter.org,"$2,377,207","$3,251,946",0
5728,Rocky Mountain PBS,Public Broadcasting and Media,"Arts, Culture, Humanities",1089 Bannock Street ,Denver,CO,80204,http://www.rmpbs.org,"$15,641,550","$41,827,136",0
10382,Rodeheaver Boys Ranch,"Youth Development, Shelter, and Crisis Services",Human Services,380 Boys Ranch Road ,Palatka,FL,32177,http://www.rbr.org/,"$2,460,534","$4,568,528",0
5870,Roever Evangelistic Association,Religious Media and Broadcasting,Religion,P.O. Box 136130 ,Fort Worth,TX,76136,http://www.daveroever.org/,"$2,346,638","$4,025,705",1
8555,Rofeh Cholim Cancer Society,Patient and Family Support,Health,762 Bedford Avenue ,Brooklyn,NY,11205,http://www.rofehcholim.org/,"$8,454,863","$11,387,989",1
12733,Roger Baldwin Foundation of ACLU,Advocacy and Education,Human and Civil Rights,150 North Michigan Avenue ,Chicago,IL,60601,http://www.aclu-il.org/about/the-aclu-of-illinois-and-the-roger-baldwin-foundation/,"$5,715,915","$8,313,614",2
13475,Rolling Hills Zoo,Zoos and Aquariums,Animals,625 North Hedville Road ,Salina,KS,67401,http://www.rollinghillszoo.org,"$3,822,027","$2,795,522",0
18128,Romanian Christian Enterprises,"Youth Development, Shelter, and Crisis Services",Human Services,21058 Unison Road ,Middleburg,VA,20117,http://www.rcenterprises.org/,"$1,398,391","$1,755,300",0
8508,Ronald McDonald House Charities Bay Area,Patient and Family Support,Health,520 Sand Hill Road ,Palo Alto,CA,94304,https://rmhcbayarea.org/,"$7,778,419","$93,825,810",1
9057,Ronald McDonald House Charities in Omaha,Patient and Family Support,Health,620 South 38th Avenue ,Omaha,NE,68105,http://www.rmhcomaha.org/,"$1,399,814","$12,165,700",1
9347,Ronald McDonald House Charities New York Metro,Patient and Family Support,Health,267-07 76th Avenue ,New Hyde Park,NY,11040,http://rmhcnym.org,"$4,102,080","$14,435,029",1
14798,Ronald McDonald House Charities of Alabama,Patient and Family Support,Health,1700 Fourth Avenue South ,Birmingham,AL,35233,http://www.rmhca.org/index.php,"$2,938,561","$18,803,507",1
16691,Ronald McDonald House Charities of Arkansas,Patient and Family Support,Health,1501 West Tenth Street ,Little Rock,AR,72202,https://www.rmhcarkansas.org/,"$1,886,395","$10,044,235",1
16688,Ronald McDonald House Charities of Augusta,Patient and Family Support,Health,1442 Harper Street ,Augusta,GA,30901,http://rmhcaugusta.org/,"$879,620","$5,727,191",1
17196,Ronald McDonald House Charities of Baltimore,Patient and Family Support,Health,635 West Lexington Street ,Baltimore,MD,21201,https://rmhcbaltimore.org/,"$19,097,939","$21,570,079",1
8154,Ronald McDonald House Charities of Central Florida,Patient and Family Support,Health,1030 North Orange Avenue Suite 105,Orlando,FL,32801,http://www.rmhccf.org,"$3,522,950","$14,604,514",1
8463,Ronald McDonald House Charities of Central Indiana,Patient and Family Support,Health,435 Limestone Street ,Indianapolis,IN,46202,http://www.rmhccin.org/ ,"$2,599,580","$10,852,664",1
14844,Ronald McDonald House Charities of Central Ohio,Patient and Family Support,Health,711 East Livingston Avenue ,Columbus,OH,43205,http://www.rmhc-centralohio.org/index.php,"$4,798,226","$24,600,366",1
16393,Ronald McDonald House Charities of Central Pennsylvania,Patient and Family Support,Health,745 West Governor Road ,Hershey,PA,17033,https://www.rmhc-centralpa.org/,"$1,469,436","$11,612,497",1
